name,level,region,year,povtype,value,covid,estimate,ppp
World,Global,Aggregates,2010,Extreme poverty,0.158839856750426,FALSE,FALSE,2011
World,Global,Aggregates,2010,Poorest 20%,0.200469370580197,FALSE,FALSE,2011
World,Global,Aggregates,2011,Extreme poverty,0.138677017369265,FALSE,FALSE,2011
World,Global,Aggregates,2011,Poorest 20%,0.200427685550174,FALSE,FALSE,2011
World,Global,Aggregates,2012,Extreme poverty,0.129358420443457,FALSE,FALSE,2011
World,Global,Aggregates,2012,Poorest 20%,0.200460632995755,FALSE,FALSE,2011
World,Global,Aggregates,2013,Extreme poverty,0.113683540651676,FALSE,FALSE,2011
World,Global,Aggregates,2013,Poorest 20%,0.200395555644288,FALSE,FALSE,2011
World,Global,Aggregates,2015,Extreme poverty,0.102859121316805,FALSE,FALSE,2011
World,Global,Aggregates,2015,Poorest 20%,0.201158568896409,FALSE,FALSE,2011
World,Global,Aggregates,2018,Extreme poverty,0.0902116078601313,FALSE,FALSE,2011
World,Global,Aggregates,2018,Poorest 20%,0.195131629555419,FALSE,FALSE,2011
World,Global,Aggregates,2018,Extreme poverty,0.0940018654291396,TRUE,FALSE,2011
World,Global,Aggregates,2018,Poorest 20%,0.20193108780491,TRUE,FALSE,2011
World,Global,Aggregates,2019,Extreme poverty,0.0878539475556956,FALSE,TRUE,2011
World,Global,Aggregates,2019,Poorest 20%,0.192728801065111,FALSE,TRUE,2011
World,Global,Aggregates,2019,Extreme poverty,0.0926074122845556,TRUE,TRUE,2011
World,Global,Aggregates,2019,Poorest 20%,0.201818346814386,TRUE,TRUE,2011
World,Global,Aggregates,2020,Extreme poverty,0.0851029540040413,FALSE,TRUE,2011
World,Global,Aggregates,2020,Poorest 20%,0.182550282530664,FALSE,TRUE,2011
World,Global,Aggregates,2020,Extreme poverty,0.0961019647070237,TRUE,TRUE,2011
World,Global,Aggregates,2020,Poorest 20%,0.201936087284648,TRUE,TRUE,2011
World,Global,Aggregates,2021,Extreme poverty,0.0823151857961342,FALSE,TRUE,2011
World,Global,Aggregates,2021,Poorest 20%,0.183240930403464,FALSE,TRUE,2011
World,Global,Aggregates,2021,Extreme poverty,0.0924723817421266,TRUE,TRUE,2011
World,Global,Aggregates,2021,Poorest 20%,0.201625120915191,TRUE,TRUE,2011
World,Global,Aggregates,2022,Extreme poverty,0.0796862521218246,FALSE,TRUE,2011
World,Global,Aggregates,2023,Extreme poverty,0.0772307601672146,FALSE,TRUE,2011
World,Global,Aggregates,2024,Extreme poverty,0.0751735363481139,FALSE,TRUE,2011
East Asia & Pacific,Regional,Aggregates,2010,Extreme poverty,0.111527386853196,FALSE,FALSE,2011
East Asia & Pacific,Regional,Aggregates,2010,Poorest 20%,0.148243736685138,FALSE,FALSE,2011
East Asia & Pacific,Regional,Aggregates,2011,Extreme poverty,0.0845045826388426,FALSE,FALSE,2011
East Asia & Pacific,Regional,Aggregates,2011,Poorest 20%,0.137592139009464,FALSE,FALSE,2011
East Asia & Pacific,Regional,Aggregates,2012,Extreme poverty,0.0715914303434897,FALSE,FALSE,2011
East Asia & Pacific,Regional,Aggregates,2012,Poorest 20%,0.129963946681616,FALSE,FALSE,2011
East Asia & Pacific,Regional,Aggregates,2013,Extreme poverty,0.035320828645393,FALSE,FALSE,2011
East Asia & Pacific,Regional,Aggregates,2013,Poorest 20%,0.0945887335924231,FALSE,FALSE,2011
East Asia & Pacific,Regional,Aggregates,2015,Extreme poverty,0.0228103472372835,FALSE,FALSE,2011
East Asia & Pacific,Regional,Aggregates,2015,Poorest 20%,0.0765786381552211,FALSE,FALSE,2011
East Asia & Pacific,Regional,Aggregates,2018,Extreme poverty,0.0114415065156153,FALSE,FALSE,2011
East Asia & Pacific,Regional,Aggregates,2018,Poorest 20%,0.0490749842300763,FALSE,FALSE,2011
East Asia & Pacific,Regional,Aggregates,2018,Extreme poverty,0.013210593553053,TRUE,FALSE,2011
East Asia & Pacific,Regional,Aggregates,2018,Poorest 20%,0.0554077320912096,TRUE,FALSE,2011
East Asia & Pacific,Regional,Aggregates,2019,Extreme poverty,0.00982333881254249,FALSE,TRUE,2011
East Asia & Pacific,Regional,Aggregates,2019,Poorest 20%,0.0456404819178914,FALSE,TRUE,2011
East Asia & Pacific,Regional,Aggregates,2019,Extreme poverty,0.0114502012572231,TRUE,TRUE,2011
East Asia & Pacific,Regional,Aggregates,2019,Poorest 20%,0.0514407701027304,TRUE,TRUE,2011
East Asia & Pacific,Regional,Aggregates,2020,Extreme poverty,0.00848712116058131,FALSE,TRUE,2011
