name,level,region,year,povtype,ppp,Pre-Covid measured extreme poverty,Pre-Covid estimated extreme poverty,Post-Covid measured extreme poverty,Post-Covid estimated extreme poverty,Poorest 20%_FALSE_FALSE,Poorest 20%_FALSE_TRUE,Poorest 20%_TRUE_FALSE,Poorest 20%_TRUE_TRUE
Afghanistan,National,SAS,2010,Extreme poverty,2011,0.556665479921386,,,,,,,
Afghanistan,National,SAS,2010,Poorest 20%,2011,,,,,0.645195136558339,,,
Afghanistan,National,SAS,2011,Extreme poverty,2011,0.514575217819735,,,,,,,
Afghanistan,National,SAS,2011,Poorest 20%,2011,,,,,0.652466410099323,,,
Afghanistan,National,SAS,2012,Extreme poverty,2011,0.428395147544484,,,,,,,
Afghanistan,National,SAS,2012,Poorest 20%,2011,,,,,0.59355702630668,,,
Afghanistan,National,SAS,2013,Extreme poverty,2011,0.39384708681492,,,,,,,
Afghanistan,National,SAS,2013,Poorest 20%,2011,,,,,0.602745935273314,,,
Afghanistan,National,SAS,2015,Extreme poverty,2011,0.371896607973711,,,,,,,
Afghanistan,National,SAS,2015,Poorest 20%,2011,,,,,0.624972299466156,,,
Afghanistan,National,SAS,2018,Extreme poverty,2011,,,0.328317482971903,,,,,
Afghanistan,National,SAS,2018,Poorest 20%,2011,,,,,,,0.631628212386757,
Afghanistan,National,SAS,2019,Extreme poverty,2011,,,,0.312129280276949,,,,
Afghanistan,National,SAS,2019,Poorest 20%,2011,,,,,,,,0.621347848294242
Afghanistan,National,SAS,2020,Extreme poverty,2011,,,,0.328589150036141,,,,
Afghanistan,National,SAS,2020,Poorest 20%,2011,,,,,,,,0.632430665783042
Afghanistan,National,SAS,2021,Extreme poverty,2011,,,,0.304954402380644,,,,
Afghanistan,National,SAS,2021,Poorest 20%,2011,,,,,,,,0.621365804537916
Albania,National,ECA,2010,Extreme poverty,2011,0.00726106,,,,,,,
Albania,National,ECA,2010,Poorest 20%,2011,,,,,0.01131496,,,
Albania,National,ECA,2011,Extreme poverty,2011,0.008512612,,,,,,,
Albania,National,ECA,2011,Poorest 20%,2011,,,,,0.01749581,,,
Albania,National,ECA,2012,Extreme poverty,2011,0.01063921,,,,,,,
