sleeping.category,p20,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,Not P20,2000,AFG,61869.9173357981,681385.319001522,0.0908001913314776,Not P20
5 people per room or more,P20,2000,AFG,4281054.68883339,19766554.2054428,0.216580727441841,P20
5 people per room or more,Not P20,2001,AFG,86842.5134952504,904267.474114283,0.0960363122430246,Not P20
5 people per room or more,P20,2001,AFG,4428929.00198422,20357493.0279136,0.217557682368424,P20
5 people per room or more,Not P20,2002,AFG,118866.948631621,1185996.8837101,0.100225346511683,Not P20
5 people per room or more,P20,2002,AFG,4604600.91250215,21053667.3814534,0.218707782785551,P20
5 people per room or more,Not P20,2003,AFG,200744.629872951,1571082.13688489,0.127774751656831,Not P20
5 people per room or more,P20,2003,AFG,4748459.89245768,21731425.7222121,0.218506597457349,P20
5 people per room or more,Not P20,2004,AFG,261404.591641846,2102937.15499526,0.124304519048947,Not P20
5 people per room or more,P20,2004,AFG,4906370.54108199,22228674.1374868,0.220722590593373,P20
5 people per room or more,Not P20,2005,AFG,420638.327946816,2804970.79347245,0.149961749664453,Not P20
5 people per room or more,P20,2005,AFG,4940999.92199438,22439412.8025514,0.220192924185279,P20
5 people per room or more,Not P20,2006,AFG,674830.272801824,3730921.73964388,0.180874947236561,Not P20
5 people per room or more,P20,2006,AFG,4849568.11819432,22279790.9601719,0.217666679497289,P20
5 people per room or more,Not P20,2007,AFG,863388.459204338,4900224.70359956,0.176193646501581,Not P20
5 people per room or more,P20,2007,AFG,4800511.96611296,21767310.1656097,0.22053767459506,P20
5 people per room or more,Not P20,2008,AFG,1215101.60942101,6364590.72372952,0.190915906798322,Not P20
5 people per room or more,P20,2008,AFG,4578739.91560137,20914750.2414765,0.218923958581211,P20
5 people per room or more,Not P20,2009,AFG,1630684.81423422,7926168.83978452,0.205734302056396,Not P20
5 people per room or more,P20,2009,AFG,4303714.17431368,20014963.6080082,0.215024831351266,P20
5 people per room or more,Not P20,2010,AFG,1997003.40654749,9877204.2978185,0.202183061758533,Not P20
5 people per room or more,P20,2010,AFG,4102647.37196115,18841988.768992,0.217739614552409,P20
5 people per room or more,Not P20,2011,AFG,1997601.83295778,10005078.1183073,0.199658794197976,Not P20
5 people per room or more,P20,2011,AFG,4296813.46200749,19631131.3407187,0.218877526079971,P20
5 people per room or more,Not P20,2012,AFG,2447702.57133078,12050552.3487532,0.203119533486284,Not P20
5 people per room or more,P20,2012,AFG,4064896.69164588,18612940.1021909,0.218390897371845,P20
5 people per room or more,Not P20,2013,AFG,2476504.01090314,12248559.9397019,0.202187361052617,Not P20
5 people per room or more,P20,2013,AFG,4267707.20550655,19505438.9432924,0.218795753221137,P20
5 people per room or more,Not P20,2014,AFG,2491998.87566583,12357759.8208953,0.201654580747896,Not P20
5 people per room or more,P20,2014,AFG,4482359.65103549,20479849.4650685,0.218866826080964,P20
5 people per room or more,Not P20,2015,AFG,2478636.65867707,12363251.0579583,0.200484213016248,Not P20
5 people per room or more,P20,2015,AFG,4713664.65478777,21500505.6580572,0.219235060316888,P20
5 people per room or more,Not P20,2016,AFG,2527017.37275867,12636400.5753244,0.199979207504175,Not P20
5 people per room or more,P20,2016,AFG,4867910.6732496,22181390.472118,0.219459220979341,P20
5 people per room or more,Not P20,2017,AFG,2575717.56603287,12890379.0129931,0.199817054520788,Not P20
5 people per room or more,P20,2017,AFG,5010080.56716595,22826092.1529928,0.219489193927094,P20
5 people per room or more,Not P20,2018,AFG,2622842.26712492,13114495.9955742,0.199995658850334,Not P20
5 people per room or more,P20,2018,AFG,5146033.33280635,23463965.0292079,0.219316442314868,P20
5 people per room or more,Not P20,2000,AGO,2310491.40200479,11852952.4514753,0.194929610277581,Not P20
5 people per room or more,P20,2000,AGO,1250103.96944175,4542520.54852462,0.275200509516192,P20
5 people per room or more,Not P20,2001,AGO,2346922.90129949,12065349.4170664,0.194517607420451,Not P20
5 people per room or more,P20,2001,AGO,1333176.4589005,4880403.58293356,0.273169305825963,P20
5 people per room or more,Not P20,2002,AGO,2379954.16983509,12287599.0511624,0.19368748605204,Not P20
5 people per room or more,P20,2002,AGO,1424727.46884907,5231817.94883754,0.272319771594047,P20
5 people per room or more,Not P20,2003,AGO,2400496.70356142,12445188.7252907,0.192885520384534,Not P20
5 people per room or more,P20,2003,AGO,1534934.39081235,5676290.27470928,0.270411539320189,P20
5 people per room or more,Not P20,2004,AGO,2398616.44304372,12601648.2063833,0.190341485793002,Not P20
5 people per room or more,P20,2004,AGO,1675079.03764922,6156496.79361672,0.27208314952523,P20
5 people per room or more,Not P20,2005,AGO,2410228.02539502,12756273.8823234,0.18894451840948,Not P20
5 people per room or more,P20,2005,AGO,1810156.06061056,6677328.11767663,0.271089877374546,P20
5 people per room or more,Not P20,2006,AGO,2526612.33009904,13344681.973511,0.18933477284167,Not P20
5 people per room or more,P20,2006,AGO,1849329.99469428,6805219.02648891,0.271751722831531,P20
5 people per room or more,Not P20,2007,AGO,2655646.72987959,13968764.2829413,0.19011321804053,Not P20
5 people per room or more,P20,2007,AGO,1884358.8397194,6936598.71705875,0.271654584124249,P20
5 people per room or more,Not P20,2008,AGO,2782733.040872,14630750.8762859,0.190197554753144,Not P20
5 people per room or more,P20,2008,AGO,1928895.22389341,7064883.12371404,0.273025779778134,P20
5 people per room or more,Not P20,2009,AGO,2713596.18756821,14503592.328658,0.1870982116759,Not P20
5 people per room or more,P20,2009,AGO,2175817.17184184,8010688.6713421,0.271614247052908,P20
5 people per room or more,Not P20,2010,AGO,2645715.12862721,14299406.4957651,0.18502272310468,Not P20
5 people per room or more,P20,2010,AGO,2426547.28197643,9056839.50423482,0.267924288692741,P20
5 people per room or more,Not P20,2011,AGO,2491587.79007934,13761394.4273002,0.181056345942418,Not P20
5 people per room or more,P20,2011,AGO,2768399.12520976,10459266.5726997,0.26468386726424,P20
5 people per room or more,Not P20,2012,AGO,2462237.57385368,13869158.0877634,0.177533312279863,Not P20
5 people per room or more,P20,2012,AGO,2990437.25322812,11238772.9122366,0.266082185001903,P20
5 people per room or more,Not P20,2013,AGO,2320066.57766766,13442033.9963907,0.172597880520956,Not P20
5 people per room or more,P20,2013,AGO,3329765.2907128,12573746.0036093,0.264818876550949,P20
5 people per room or more,Not P20,2014,AGO,2158693.12657822,13079408.5053751,0.165045164365887,Not P20
5 people per room or more,P20,2014,AGO,3692237.40808435,13862370.4946249,0.266349641247578,P20
5 people per room or more,Not P20,2015,AGO,2008207.05769243,12670673.2060218,0.158492530352532,Not P20
5 people per room or more,P20,2015,AGO,4047427.80714201,15213707.793978,0.266038224340294,P20
5 people per room or more,Not P20,2016,AGO,1660926.60837956,11799449.5473163,0.140763058625674,Not P20
5 people per room or more,P20,2016,AGO,4602778.9298151,17043034.4526838,0.270068041145707,P20
5 people per room or more,Not P20,2017,AGO,1438718.75734434,10860738.1658477,0.132469702830005,Not P20
5 people per room or more,P20,2017,AGO,5036567.12921642,18956009.8341522,0.265697642767744,P20
5 people per room or more,Not P20,2018,AGO,1234967.7433428,9933184.4247009,0.124327475514479,Not P20
5 people per room or more,P20,2018,AGO,5455970.4182198,20876577.5752991,0.261344101950659,P20
5 people per room or more,Not P20,2000,ALB,534971.566063583,6061410.0591866,0.0882586000352815,Not P20
5 people per room or more,P20,2000,ALB,28517.6561075624,116643.940813399,0.244484676260926,P20
5 people per room or more,Not P20,2001,ALB,526171.993880736,5989585.19001816,0.0878478187033083,Not P20
5 people per room or more,P20,2001,ALB,29107.3730476462,130760.809981834,0.222600128063522,P20
5 people per room or more,Not P20,2002,ALB,524310.309012716,5951731.82696839,0.0880937388067403,Not P20
5 people per room or more,P20,2002,ALB,28996.5686793905,150288.173031612,0.192939790899523,P20
5 people per room or more,Not P20,2003,ALB,525971.098275837,5929180.99662032,0.0887088956426941,Not P20
5 people per room or more,P20,2003,ALB,28957.2865403186,150051.003379686,0.192982958381462,P20
5 people per room or more,Not P20,2004,ALB,519087.023919948,5902749.87526593,0.0879398644511532,Not P20
5 people per room or more,P20,2004,ALB,29199.1149081276,151128.124734071,0.193207683609566,P20
5 people per room or more,Not P20,2005,ALB,521567.497365048,5870586.21634685,0.0888441934321184,Not P20
5 people per room or more,P20,2005,ALB,29482.5423882712,152387.783653139,0.193470511096733,P20
5 people per room or more,Not P20,2006,ALB,519335.281080947,5857298.58053006,0.0886646418892221,Not P20
5 people per room or more,P20,2006,ALB,29385.4696543782,127795.419469934,0.229941493805196,P20
5 people per room or more,Not P20,2007,ALB,518149.164633266,5837895.3901935,0.08875615782764,Not P20
5 people per room or more,P20,2007,ALB,28481.0884861431,102138.60980649,0.278847426454138,P20
5 people per room or more,Not P20,2008,ALB,519532.941690932,5809610.30175148,0.0894264700567443,Not P20
5 people per room or more,P20,2008,ALB,23880.9043061783,85017.6982485164,0.280893329249772,P20
5 people per room or more,Not P20,2009,ALB,509132.549810405,5733722.66533063,0.0887961590624032,Not P20
5 people per room or more,P20,2009,ALB,27938.4695762129,121315.33466937,0.23029627418789,P20
5 people per room or more,Not P20,2010,ALB,269377.770128091,3555670.21175045,0.0757600548098853,Not P20
