educ.category,p20,povcal_year,iso3,value,total,percentage,demographic
Completed secondary education,Not P20,2000,AFG,443963.085711193,694096.696724629,0.639627141011057,Not P20
Completed secondary education,P20,2000,AFG,2678575.25824693,20041306.9833092,0.13365272337167,P20
Completed secondary education,Not P20,2001,AFG,549025.844620927,917382.140144356,0.598470169186566,Not P20
Completed secondary education,P20,2001,AFG,2697788.45411416,20643283.4922392,0.130686014903026,P20
Completed secondary education,Not P20,2002,AFG,680898.740504032,1207330.53948567,0.563970444079133,Not P20
Completed secondary education,P20,2002,AFG,2715248.0615594,21344986.5629447,0.127207766261756,P20
Completed secondary education,Not P20,2003,AFG,859343.070187059,1603841.30310275,0.535803055155516,Not P20
Completed secondary education,P20,2003,AFG,2699107.12052445,22026261.2134817,0.122540411845856,P20
Completed secondary education,Not P20,2004,AFG,1031442.44804935,2176363.06602398,0.473929402750666,Not P20
Completed secondary education,P20,2004,AFG,2684158.78112263,22497310.3734026,0.119310208045845,P20
Completed secondary education,Not P20,2005,AFG,1248283.51489988,2907011.02502356,0.429404465326981,Not P20
Completed secondary education,P20,2005,AFG,2606704.20422648,22692266.784431,0.114871917776629,P20
Completed secondary education,Not P20,2006,AFG,1508084.09647744,3871609.60811516,0.38952380253329,Not P20
Completed secondary education,P20,2006,AFG,2463927.24783234,22504770.6228274,0.109484663902021,P20
Completed secondary education,Not P20,2007,AFG,1874103.64789834,5052621.86477436,0.370917060103812,Not P20
Completed secondary education,P20,2007,AFG,2198208.87378145,21989814.3671694,0.0999648672370492,P20
Completed secondary education,Not P20,2008,AFG,2205125.23374549,6522499.02432007,0.338079810441268,Not P20
Completed secondary education,P20,2008,AFG,1960614.20713728,21140344.2838103,0.0927427756528425,P20
Completed secondary education,Not P20,2009,AFG,2498931.94965599,8108127.996233,0.308200851148006,Not P20
Completed secondary education,P20,2009,AFG,1767867.51625333,20225810.4864033,0.0874065104803472,P20
Completed secondary education,Not P20,2010,AFG,2851443.17915433,10092936.9490155,0.282518675540965,Not P20
Completed secondary education,P20,2010,AFG,1534171.39347527,19030000.3960041,0.0806185686573824,P20
Completed secondary education,Not P20,2011,AFG,2899484.21065075,10227312.9958734,0.283504006557797,Not P20
Completed secondary education,P20,2011,AFG,1626164.95291199,19825532.4727039,0.0820237718785572,P20
