handwashing,p20,povcal_year,iso3,value,total,percentage,demographic
no soap and water,Not P20,2000,AFG,142632.373436492,652745.609981775,0.2185114250565,Not P20
no soap and water,P20,2000,AFG,13385865.8461629,18361309.2522184,0.729025673621049,P20
no soap and water,Not P20,2001,AFG,203830.573075481,866652.783804264,0.235192890260786,Not P20
no soap and water,P20,2001,AFG,13863097.2341677,18904154.9383739,0.733335993032234,P20
no soap and water,Not P20,2002,AFG,274125.414562198,1131878.84377604,0.242186181029494,Not P20
no soap and water,P20,2002,AFG,14439790.286141,19548258.4360324,0.738674001747636,P20
no soap and water,Not P20,2003,AFG,367441.172670971,1501602.04039941,0.244699436192319,Not P20
no soap and water,P20,2003,AFG,15049659.2010432,20166848.3347619,0.746257370077102,P20
no soap and water,Not P20,2004,AFG,530308.65842832,2028999.30684764,0.26136463262387,Not P20
no soap and water,P20,2004,AFG,15567653.6647106,20596389.9871651,0.7558437995402,P20
no soap and water,Not P20,2005,AFG,814858.52603038,2722293.6356215,0.299327932654975,Not P20
no soap and water,P20,2005,AFG,15887000.266413,20751861.0137215,0.765569905075416,P20
no soap and water,Not P20,2006,AFG,1139026.24580111,3642119.98790957,0.312737155717614,Not P20
no soap and water,P20,2006,AFG,16069841.1821033,20544625.9523351,0.782191957127201,P20
no soap and water,Not P20,2007,AFG,1555047.73078121,4722371.90329076,0.329293787661574,Not P20
no soap and water,P20,2007,AFG,16088377.7873703,20075137.4221168,0.801408102424532,P20
no soap and water,Not P20,2008,AFG,2275508.09040563,6126093.5981666,0.371445204671152,Not P20
no soap and water,P20,2008,AFG,15772692.5724757,19240319.7315004,0.819772893204706,P20
no soap and water,Not P20,2009,AFG,3156474.08853962,7530854.12227845,0.419138923326354,Not P20
no soap and water,P20,2009,AFG,15329572.3965683,18450943.4392422,0.830828648250297,P20
no soap and water,Not P20,2010,AFG,4367415.56120732,9304115.97897237,0.469406827158844,Not P20
no soap and water,P20,2010,AFG,14633401.2109772,17401181.7317167,0.840942956437566,P20
no soap and water,Not P20,2011,AFG,4382588.16463716,9431325.9683902,0.464684200220174,Not P20
no soap and water,P20,2011,AFG,15224932.9952731,18126683.5752089,0.839918285774878,P20
no soap and water,Not P20,2012,AFG,5631513.24374544,11257161.5305029,0.500260498926487,Not P20
no soap and water,P20,2012,AFG,14655665.4489237,17256094.1465261,0.849303748836704,P20
no soap and water,Not P20,2013,AFG,5676500.92427168,11457046.5041028,0.495459359638533,Not P20
no soap and water,P20,2013,AFG,15332164.3664392,18070245.2865307,0.848475719245915,P20
no soap and water,Not P20,2014,AFG,5684947.00404613,11583263.7743903,0.490789738952084,Not P20
no soap and water,P20,2014,AFG,16040642.4241696,18951651.6756678,0.846398123956884,P20
no soap and water,Not P20,2015,AFG,5615635.9821468,11608234.2588552,0.483763150960104,Not P20
no soap and water,P20,2015,AFG,16788859.6832428,19880871.3925376,0.844473028961127,P20
no soap and water,Not P20,2016,AFG,5728366.92084149,11863749.362622,0.482846252542163,Not P20
no soap and water,P20,2016,AFG,17307324.4568944,20512490.2269599,0.843745652789984,P20
no soap and water,Not P20,2017,AFG,5830197.24540195,12107275.4233004,0.481544942323006,Not P20
no soap and water,P20,2017,AFG,17800067.1145736,21104625.5324121,0.84342018233096,P20
no soap and water,Not P20,2018,AFG,5917214.80045343,12330078.039366,0.479900839358975,Not P20
no soap and water,P20,2018,AFG,18283348.0121411,21683366.8785739,0.84319691284694,P20
no soap and water,Not P20,2000,AGO,1747677.73533065,5215999.01475145,0.335060978805405,Not P20
no soap and water,P20,2000,AGO,660658.819406316,1098745.86954579,0.60128446232924,P20
no soap and water,Not P20,2001,AGO,1782101.48144623,5328303.66509957,0.334459444028877,Not P20
no soap and water,P20,2001,AGO,707065.887951623,1198382.516343,0.590016858815092,P20
no soap and water,Not P20,2002,AGO,1824069.14001059,5462404.83593531,0.333931518222643,Not P20
no soap and water,P20,2002,AGO,749363.927689277,1285229.03084124,0.58305866869408,P20
no soap and water,Not P20,2003,AGO,1857211.90221624,5576216.09098028,0.333059528525149,Not P20
no soap and water,P20,2003,AGO,804658.255576594,1403303.00012188,0.573403075106878,P20
no soap and water,Not P20,2004,AGO,1890832.143082,5701039.9743515,0.331664424664393,Not P20
no soap and water,P20,2004,AGO,864558.098026408,1523692.13174,0.56740996426825,P20
no soap and water,Not P20,2005,AGO,1916377.93476273,5790065.7474937,0.330976886677367,Not P20
no soap and water,P20,2005,AGO,938230.412724982,1694819.79456836,0.55358712220135,P20
no soap and water,Not P20,2006,AGO,2002967.10636585,6041019.68315583,0.331561095877692,Not P20
no soap and water,P20,2006,AGO,956858.642646137,1719749.66206809,0.556394144887033,P20
no soap and water,Not P20,2007,AGO,2101513.60846633,6321032.49244988,0.33246366174774,Not P20
no soap and water,P20,2007,AGO,969282.208339051,1730704.35336281,0.56005071371994,P20
no soap and water,Not P20,2008,AGO,2193059.84685456,6604839.58530415,0.332038321072043,Not P20
no soap and water,P20,2008,AGO,993819.143485895,1751271.50786686,0.567484332966975,P20
no soap and water,Not P20,2009,AGO,2185773.55889479,6626359.12347277,0.329860413262549,Not P20
no soap and water,P20,2009,AGO,1121356.76518429,2045055.28271002,0.548325893517323,P20
no soap and water,Not P20,2010,AGO,2172694.78283074,6654913.98447085,0.326479769370527,Not P20
