birth.reg,p20,sex,povcal_year,iso3,value,total,percentage,demographic
Registered,Not P20,Male,2000,AFG,234550.974040583,360032.190145233,0.65147223070795,Not P20 Male
Registered,P20,Male,2000,AFG,4440095.62331424,10277506.2147071,0.432020718893897,P20 Male
Registered,Not P20,Female,2000,AFG,273954.142005186,336359.141716868,0.814469143329509,Not P20 Female
Registered,P20,Female,2000,AFG,4106969.1640655,9806055.45343082,0.418819696010245,P20 Female
Registered,Not P20,Male,2001,AFG,313509.392729419,465347.271300153,0.673710607249275,Not P20 Male
Registered,P20,Male,2001,AFG,4547186.53537429,10595561.5124292,0.429159561769349,P20 Male
Registered,Not P20,Female,2001,AFG,353356.373300199,454523.449838142,0.777421656519659,Not P20 Female
Registered,P20,Female,2001,AFG,4201926.17729987,10091555.7664325,0.416380414928363,P20 Female
Registered,Not P20,Male,2002,AFG,416867.248024539,602248.28590198,0.692185030298927,Not P20 Male
Registered,P20,Male,2002,AFG,4667389.32262792,10967390.9165656,0.425569705514745,P20 Male
Registered,Not P20,Female,2002,AFG,466415.481718617,607685.293242449,0.767528006527764,Not P20 Female
Registered,P20,Female,2002,AFG,4298380.66715348,10423445.50429,0.41237618265327,P20 Female
Registered,Not P20,Male,2003,AFG,550170.510969841,782292.404798967,0.703279883065238,Not P20 Male
Registered,P20,Male,2003,AFG,4777064.97616282,11340265.0775425,0.421248087544533,P20 Male
Registered,Not P20,Female,2003,AFG,635340.140423506,824276.338402819,0.770785367507442,Not P20 Female
Registered,P20,Female,2003,AFG,4357167.76717153,10734037.1792557,0.405920688964265,P20 Female
Registered,Not P20,Male,2004,AFG,788726.971878824,1110538.99604106,0.710219969483775,Not P20 Male
Registered,P20,Male,2004,AFG,4773774.02244336,11547384.2761939,0.413407392381061,P20 Male
Registered,Not P20,Female,2004,AFG,803078.750098807,1068671.96140793,0.751473585066068,Not P20 Female
Registered,P20,Female,2004,AFG,4409912.16559023,11000088.7663572,0.400897870849693,P20 Female
Registered,Not P20,Male,2005,AFG,1064133.00249589,1487273.30699425,0.715492571198284,Not P20 Male
Registered,P20,Male,2005,AFG,4707038.79397777,11645497.3415351,0.404193883346616,P20 Male
Registered,Not P20,Female,2005,AFG,1062993.60654872,1423752.24601853,0.746614173583465,Not P20 Female
Registered,P20,Female,2005,AFG,4345556.64424795,11097754.1054521,0.391570817208235,P20 Female
Registered,Not P20,Male,2006,AFG,1408838.37277951,2000942.30919377,0.704087452349969,Not P20 Male
Registered,P20,Male,2006,AFG,4537525.53697349,11530492.2371136,0.393524009527399,P20 Male
Registered,Not P20,Female,2006,AFG,1381881.63215139,1877539.9870084,0.736006498776745,Not P20 Female
Registered,P20,Female,2006,AFG,4190852.84008771,11024074.4666842,0.38015462003208,P20 Female
Registered,Not P20,Male,2007,AFG,1777363.40590647,2576234.95226641,0.689907341076503,Not P20 Male
Registered,P20,Male,2007,AFG,4319158.00580662,11296895.1983207,0.382331422039631,P20 Male
Registered,Not P20,Female,2007,AFG,1799887.79083731,2484754.82074658,0.724372391114432,Not P20 Female
Registered,P20,Female,2007,AFG,3913569.29780035,10742651.0286663,0.364302003979944,P20 Female
Registered,Not P20,Male,2008,AFG,2233343.81933028,3309761.04135585,0.674774943394521,Not P20 Male
