sleeping.category,p20,sex,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,Not P20,Male,2000,AFG,41200.1274945225,350855.554544524,0.117427605066729,Not P20 Male
5 people per room or more,P20,Male,2000,AFG,2182416.59762575,10115158.6847799,0.215757030179823,P20 Male
5 people per room or more,Not P20,Female,2000,AFG,20669.7898412756,330529.764456998,0.0625353358879266,Not P20 Female
5 people per room or more,P20,Female,2000,AFG,2098638.09120763,9651395.52066297,0.217444004518786,P20 Female
5 people per room or more,Not P20,Male,2001,AFG,52572.6777446888,455805.408750951,0.115340179680523,Not P20 Male
5 people per room or more,P20,Male,2001,AFG,2259543.23013408,10426752.6065107,0.216706324145752,P20 Male
5 people per room or more,Not P20,Female,2001,AFG,34269.8357505617,448462.065363332,0.0764163535722852,Not P20 Female
5 people per room or more,P20,Female,2001,AFG,2169385.77185015,9930740.42140282,0.218451563508262,P20 Female
5 people per room or more,Not P20,Male,2002,AFG,69552.6802731135,587147.459137302,0.118458624304204,Not P20 Male
5 people per room or more,P20,Male,2002,AFG,2348905.63734659,10795937.9905601,0.217573094565795,P20 Male
5 people per room or more,Not P20,Female,2002,AFG,49314.268358508,598849.424572801,0.0823483605978032,Not P20 Female
5 people per room or more,P20,Female,2002,AFG,2255695.27515556,10257729.3908933,0.2199020064965,P20 Female
5 people per room or more,Not P20,Male,2003,AFG,94055.5634660348,757368.316521471,0.124187349027253,Not P20 Male
5 people per room or more,P20,Male,2003,AFG,2439981.96881403,11169719.9249969,0.218446119078918,P20 Male
5 people per room or more,Not P20,Female,2003,AFG,106689.066406916,813713.820363418,0.131113745074732,Not P20 Female
5 people per room or more,P20,Female,2003,AFG,2308477.92364367,10561705.7972154,0.218570557442748,P20 Female
5 people per room or more,Not P20,Male,2004,AFG,123407.205806617,1060135.83437142,0.116406975224819,Not P20 Male
5 people per room or more,P20,Male,2004,AFG,2522540.45823112,11393685.7327551,0.221398107460451,P20 Male
5 people per room or more,Not P20,Female,2004,AFG,137997.38583523,1042801.32062384,0.132333343951535,Not P20 Female
5 people per room or more,P20,Female,2004,AFG,2383830.08285086,10834988.4047317,0.220012241250745,P20 Female
