handwashing,p20,sex,povcal_year,iso3,value,total,percentage,demographic
no soap and water,Not P20,Male,2000,AFG,81923.4754592087,334998.315109701,0.244548917902413,Not P20 Male
no soap and water,P20,Male,2000,AFG,6899090.75788322,9390222.91375216,0.734710008617514,P20 Male
no soap and water,Not P20,Female,2000,AFG,60708.8979772834,317747.294872075,0.191060314145947,Not P20 Female
no soap and water,P20,Female,2000,AFG,6486775.0882797,8971086.33846623,0.723075761791045,P20 Female
no soap and water,Not P20,Male,2001,AFG,113374.107407262,434683.840067479,0.260819696885124,Not P20 Male
no soap and water,P20,Male,2001,AFG,7145482.09730402,9677597.85707415,0.738352864298944,P20 Male
no soap and water,Not P20,Female,2001,AFG,90456.4656682187,431968.943736785,0.209405020846446,Not P20 Female
no soap and water,P20,Female,2001,AFG,6717615.13686364,9226557.0812998,0.728073871723914,P20 Female
no soap and water,Not P20,Male,2002,AFG,146542.017897997,562769.492738932,0.260394388446314,Not P20 Male
no soap and water,P20,Male,2002,AFG,7446174.72474808,10014611.8994434,0.743531032406947,P20 Male
no soap and water,Not P20,Female,2002,AFG,127583.396664202,569109.351037105,0.224180812407497,Not P20 Female
no soap and water,P20,Female,2002,AFG,6993615.56139299,9533646.53658898,0.733571937511249,P20 Female
no soap and water,Not P20,Male,2003,AFG,197103.182110214,728780.482329761,0.270456175610132,Not P20 Male
no soap and water,P20,Male,2003,AFG,7758472.92092263,10354098.7410804,0.749314171608247,P20 Male
no soap and water,Not P20,Female,2003,AFG,170337.990560756,772821.558069648,0.220410505869202,Not P20 Female
no soap and water,P20,Female,2003,AFG,7291186.28012058,9812749.59368155,0.743031931112905,P20 Female
no soap and water,Not P20,Male,2004,AFG,295955.266550051,1031028.27536782,0.287048642234831,Not P20 Male
no soap and water,P20,Male,2004,AFG,8010961.16138221,10541301.6599385,0.759959388300907,P20 Male
no soap and water,Not P20,Female,2004,AFG,234353.391878269,997971.031479818,0.234829854260162,Not P20 Female
no soap and water,P20,Female,2004,AFG,7556692.50332837,10055088.3272265,0.751529201674623,P20 Female
no soap and water,Not P20,Male,2005,AFG,426084.638831583,1391070.92130752,0.306299723691364,Not P20 Male
no soap and water,P20,Male,2005,AFG,8192456.1674498,10615381.6097209,0.771753335739493,P20 Male
no soap and water,Not P20,Female,2005,AFG,388773.887198798,1331222.71431398,0.292042708570477,Not P20 Female
no soap and water,P20,Female,2005,AFG,7694544.0989632,10136479.4040006,0.759094335645409,P20 Female
no soap and water,Not P20,Male,2006,AFG,616282.182112312,1869747.50828681,0.329607168551326,Not P20 Male
no soap and water,P20,Male,2006,AFG,8263886.66618287,10501177.9350164,0.786948542089429,P20 Male
no soap and water,Not P20,Female,2006,AFG,522744.063688797,1772372.47962276,0.29494029595859,Not P20 Female
no soap and water,P20,Female,2006,AFG,7805954.51592041,10043448.0173187,0.777218590912207,P20 Female
no soap and water,Not P20,Male,2007,AFG,809812.793654915,2395923.80474205,0.337996054821159,Not P20 Male
no soap and water,P20,Male,2007,AFG,8294597.95969032,10287392.0824852,0.806287725128346,P20 Male
no soap and water,Not P20,Female,2007,AFG,745234.937126298,2326448.0985487,0.320331641007248,Not P20 Female
no soap and water,P20,Female,2007,AFG,7793779.82767998,9787745.3396316,0.796279383784349,P20 Female
no soap and water,Not P20,Male,2008,AFG,1164852.87167828,3097282.32865634,0.376088695854736,Not P20 Male
no soap and water,P20,Male,2008,AFG,8148431.10623288,9877013.95909597,0.824989327744019,P20 Male
no soap and water,Not P20,Female,2008,AFG,1110655.21872734,3028811.26951024,0.366696740040501,Not P20 Female
no soap and water,P20,Female,2008,AFG,7624261.46624284,9363305.77240449,0.814270264324065,P20 Female
no soap and water,Not P20,Male,2009,AFG,1621622.62714626,3790394.74270672,0.427824207562155,Not P20 Male
no soap and water,P20,Male,2009,AFG,7917599.80064731,9498655.4383578,0.83354953256586,P20 Male
no soap and water,Not P20,Female,2009,AFG,1534851.46139336,3740459.37957173,0.410337690010978,Not P20 Female
no soap and water,P20,Female,2009,AFG,7411972.59592099,8952288.00088441,0.827941705538155,P20 Female
no soap and water,Not P20,Male,2010,AFG,2242361.65871868,4707504.90085422,0.476337615349435,Not P20 Male
no soap and water,P20,Male,2010,AFG,7562494.0006909,8951597.8050805,0.844820574534614,P20 Male
no soap and water,Not P20,Female,2010,AFG,2125053.90248864,4596611.07811816,0.462308832827909,Not P20 Female
no soap and water,P20,Female,2010,AFG,7070907.21028629,8449583.92663619,0.836834957990795,P20 Female
no soap and water,Not P20,Male,2011,AFG,2271890.38301451,4782810.58764042,0.47501157350564,Not P20 Male
no soap and water,P20,Male,2011,AFG,7846038.60481584,9312433.24019692,0.842533675403822,P20 Male
