birth.reg,p20,urban,povcal_year,iso3,value,total,percentage,demographic
Registered,Not P20,Urban,2000,AFG,508505.116045769,696391.3318621,0.730200237682544,Not P20 Urban
Registered,P20,Rural,2000,AFG,5929098.30835612,15918220.1507931,0.372472440523491,P20 Rural
Registered,P20,Urban,2000,AFG,2617966.47902361,4165341.51734474,0.628511844256284,P20 Urban
Registered,Not P20,Urban,2001,AFG,666865.766029617,919870.721138295,0.724955964686433,Not P20 Urban
Registered,P20,Rural,2001,AFG,6165074.38681267,16551759.8514081,0.37247244052349,P20 Rural
Registered,P20,Urban,2001,AFG,2584038.3258615,4135357.42745368,0.624864566411278,P20 Urban
Registered,Not P20,Urban,2002,AFG,882592.274403686,1209213.06585064,0.729889793063733,Not P20 Urban
Registered,Not P20,Rural,2002,AFG,690.455339471095,720.513293791289,0.958282581904866,Not P20 Rural
Registered,P20,Rural,2002,AFG,6447937.56487528,17312313.4689025,0.372448059957873,P20 Rural
Registered,P20,Urban,2002,AFG,2517832.42490609,4078522.95195308,0.617339280559981,P20 Urban
Registered,Not P20,Rural,2003,AFG,6430.06547604057,8836.57908961021,0.727664564627827,Not P20 Rural
Registered,Not P20,Urban,2003,AFG,1179080.58591731,1597732.16411218,0.737971364914279,Not P20 Urban
Registered,P20,Rural,2003,AFG,6750380.79865344,18131595.1119991,0.372299334777566,P20 Rural
Registered,P20,Urban,2003,AFG,2383851.94468092,3942707.14479914,0.604623132566537,P20 Urban
Registered,Not P20,Rural,2004,AFG,19725.1100282833,29600.2549442186,0.666383112762206,Not P20 Rural
Registered,Not P20,Urban,2004,AFG,1572080.61194935,2149610.70250478,0.731332706018594,Not P20 Urban
Registered,P20,Rural,2004,AFG,7035485.27835211,18911963.2563445,0.372012423194185,P20 Rural
Registered,P20,Urban,2004,AFG,2148200.90968146,3635509.7862065,0.590893997268816,P20 Urban
Registered,Not P20,Rural,2005,AFG,40789.2900855388,66882.8820903063,0.609861429572734,Not P20 Rural
Registered,Not P20,Urban,2005,AFG,2086337.31895907,2844142.67092247,0.733555788283431,Not P20 Urban
Registered,P20,Rural,2005,AFG,7279089.16983203,19585251.5137589,0.37166176623866,P20 Rural
Registered,P20,Urban,2005,AFG,1773506.26839369,3157999.93322835,0.561591610478812,P20 Urban
Registered,Not P20,Rural,2006,AFG,114317.028641705,183759.304241956,0.622101988866829,Not P20 Rural
Registered,Not P20,Urban,2006,AFG,2676402.97628919,3694722.99196022,0.7243852873715,Not P20 Urban
Registered,P20,Rural,2006,AFG,7427766.73404027,20064943.531549,0.370186276495683,P20 Rural
Registered,P20,Urban,2006,AFG,1300611.64302093,2489623.17224882,0.522413053316062,P20 Urban
Registered,Not P20,Rural,2007,AFG,435072.628372292,606821.432541289,0.716969778984675,Not P20 Rural
Registered,Not P20,Urban,2007,AFG,3142178.5683715,4454168.34047171,0.705446747447972,Not P20 Urban
Registered,P20,Rural,2007,AFG,7297463.7326649,20153201.3765813,0.362099479695807,P20 Rural
Registered,P20,Urban,2007,AFG,935263.570942066,1886344.85040571,0.495807312613552,P20 Urban
Registered,Not P20,Rural,2008,AFG,855288.488934291,1321946.22125487,0.646991893605474,Not P20 Rural
Registered,Not P20,Urban,2008,AFG,3583755.29105788,5212982.84944446,0.687467308939987,Not P20 Urban
Registered,P20,Rural,2008,AFG,7054647.57951503,19914352.6505014,0.354249405106191,P20 Rural
Registered,P20,Urban,2008,AFG,587231.451052348,1272994.27879922,0.461299363895232,P20 Urban
Registered,Not P20,Rural,2009,AFG,1413277.4448914,2416221.64573453,0.584912169538056,Not P20 Rural
Registered,Not P20,Urban,2009,AFG,3851106.37320738,5709975.01425322,0.674452403661007,Not P20 Urban
Registered,P20,Rural,2009,AFG,6688552.12731161,19335265.6879762,0.345925017801589,P20 Rural
Registered,P20,Urban,2009,AFG,421067.692432084,933350.652036096,0.451135585016765,P20 Urban
Registered,Not P20,Rural,2010,AFG,2194133.68625423,4014309.90909966,0.546578051007112,Not P20 Rural
Registered,Not P20,Urban,2010,AFG,4104437.16502472,6104430.14123107,0.672370240966832,Not P20 Urban
Registered,P20,Rural,2010,AFG,6133302.86676473,18342878.5618519,0.33436970353826,P20 Rural
Registered,P20,Urban,2010,AFG,286701.670717521,723888.387817399,0.396057839222918,P20 Urban
Registered,Not P20,Rural,2011,AFG,2175100.23517611,3981443.88867002,0.546309403321189,Not P20 Rural
Registered,Not P20,Urban,2011,AFG,4227003.18858956,6272417.0312102,0.673903403991938,Not P20 Urban
Registered,P20,Rural,2011,AFG,6418235.00818864,19089619.385937,0.33621597573165,P20 Rural
