sleeping.category,p20,urban,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,Not P20,Urban,2000,AFG,61869.9173357981,681385.319001522,0.0908001913314776,Not P20 Urban
5 people per room or more,P20,Rural,2000,AFG,3249360.24524255,15736368.5309797,0.206487299712487,P20 Rural
5 people per room or more,P20,Urban,2000,AFG,1031694.44359082,4030185.67446312,0.255991789690498,P20 Urban
5 people per room or more,Not P20,Urban,2001,AFG,86842.5134952504,904267.474114283,0.0960363122430246,Not P20 Urban
5 people per room or more,P20,Rural,2001,AFG,3378683.66817928,16362670.5995176,0.206487299712487,P20 Rural
5 people per room or more,P20,Urban,2001,AFG,1050245.33380494,3994822.42839602,0.262901631456653,P20 Urban
5 people per room or more,Not P20,Urban,2002,AFG,118866.948631621,1185276.37041631,0.100286272128981,Not P20 Urban
5 people per room or more,P20,Rural,2002,AFG,3534081.31143851,17114527.3317765,0.206495992727582,P20 Rural
5 people per room or more,P20,Urban,2002,AFG,1070519.60106363,3939140.04967693,0.271764798296885,P20 Urban
5 people per room or more,Not P20,Urban,2003,AFG,199020.639072562,1562245.55779528,0.127393954221531,Not P20 Urban
5 people per room or more,Not P20,Rural,2003,AFG,1723.99080038811,8836.57908961021,0.195097082582006,Not P20 Rural
5 people per room or more,P20,Rural,2003,AFG,3701252.66175111,17924356.6861016,0.206492915007713,P20 Rural
5 people per room or more,P20,Urban,2003,AFG,1047207.23070658,3807069.03611059,0.275069146572776,P20 Urban
5 people per room or more,Not P20,Rural,2004,AFG,3529.4847485065,29260.7301528621,0.120621895970059,Not P20 Rural
5 people per room or more,Not P20,Urban,2004,AFG,257875.10689334,2073676.4248424,0.124356482913161,Not P20 Urban
5 people per room or more,P20,Rural,2004,AFG,3862980.89601488,18695912.1310697,0.206621686544793,P20 Rural
5 people per room or more,P20,Urban,2004,AFG,1043389.64506709,3532762.00641711,0.295346712620839,P20 Urban
5 people per room or more,Not P20,Rural,2005,AFG,3661.88929358506,66530.6204184289,0.0550406605342692,Not P20 Rural
5 people per room or more,Not P20,Urban,2005,AFG,416976.438653231,2738440.17305402,0.152267865026316,Not P20 Urban
5 people per room or more,P20,Rural,2005,AFG,4007896.16400136,19361095.4799793,0.20700771648721,P20 Rural
5 people per room or more,P20,Urban,2005,AFG,933103.757993003,3078317.32257204,0.303121368011977,P20 Urban
5 people per room or more,Not P20,Rural,2006,AFG,9858.57962761655,182395.783773664,0.0540504798063211,Not P20 Rural
5 people per room or more,Not P20,Urban,2006,AFG,664971.693174207,3548525.95587022,0.187393780246743,Not P20 Urban
5 people per room or more,P20,Rural,2006,AFG,4123476.01362909,19834983.4885204,0.207889057029746,P20 Rural
5 people per room or more,P20,Urban,2006,AFG,726092.104565232,2444807.47165147,0.296993572289254,P20 Urban
5 people per room or more,Not P20,Rural,2007,AFG,22459.3708408004,605423.48047236,0.0370969603347351,Not P20 Rural
5 people per room or more,Not P20,Urban,2007,AFG,840929.088363537,4294801.2231272,0.195801631944033,Not P20 Urban
5 people per room or more,P20,Rural,2007,AFG,4215250.13231181,19917434.3856202,0.211636200260567,P20 Rural
5 people per room or more,P20,Urban,2007,AFG,585261.83380115,1849875.77998943,0.316378991569095,P20 Urban
5 people per room or more,Not P20,Rural,2008,AFG,126353.578439859,1319104.14871856,0.0957874164542695,Not P20 Rural
5 people per room or more,Not P20,Urban,2008,AFG,1088748.03098115,5045486.57501098,0.215786528176181,Not P20 Urban
5 people per room or more,P20,Rural,2008,AFG,4208577.37843198,19674588.7462333,0.213909293490961,P20 Rural
5 people per room or more,P20,Urban,2008,AFG,370162.537169387,1240161.49524314,0.29847930175966,P20 Urban
5 people per room or more,Not P20,Rural,2009,AFG,382769.351231516,2402722.26956324,0.159306531628848,Not P20 Rural
5 people per room or more,Not P20,Urban,2009,AFG,1247915.4630027,5523446.57022127,0.225930575617519,Not P20 Urban
5 people per room or more,P20,Rural,2009,AFG,4057326.18379192,19100273.5137407,0.212422412740482,P20 Rural
5 people per room or more,P20,Urban,2009,AFG,246387.990521752,914690.094267478,0.269367725818732,P20 Urban
5 people per room or more,Not P20,Rural,2010,AFG,678268.768647503,3974419.47380438,0.170658576206666,Not P20 Rural
5 people per room or more,Not P20,Urban,2010,AFG,1318734.63789998,5902784.82401411,0.223408895498785,Not P20 Urban
5 people per room or more,P20,Rural,2010,AFG,3885467.54890088,18127357.8456866,0.214342739961159,P20 Rural
5 people per room or more,P20,Urban,2010,AFG,217179.823060268,714630.923305387,0.303904877297704,P20 Urban
5 people per room or more,Not P20,Rural,2011,AFG,639062.802238649,3940745.02746304,0.162168015891671,Not P20 Rural
5 people per room or more,Not P20,Urban,2011,AFG,1358539.03071913,6064333.09084423,0.224021176008656,Not P20 Urban
5 people per room or more,P20,Rural,2011,AFG,4070395.61144263,18866751.7059377,0.215744377987527,P20 Rural
5 people per room or more,P20,Urban,2011,AFG,226417.850564868,764379.634781047,0.296211254542024,P20 Urban
5 people per room or more,Not P20,Rural,2012,AFG,1007803.35234312,5638649.68523956,0.17873132905938,Not P20 Rural
5 people per room or more,Not P20,Urban,2012,AFG,1439899.21898765,6411902.66351356,0.224566605975054,Not P20 Urban
5 people per room or more,P20,Rural,2012,AFG,3864899.50513954,17959425.6649995,0.215201731794336,P20 Rural
5 people per room or more,P20,Urban,2012,AFG,199997.186506341,653514.437191391,0.306033310244636,P20 Urban
5 people per room or more,Not P20,Rural,2013,AFG,994363.658392157,5622269.72019977,0.176861607122759,Not P20 Rural
5 people per room or more,Not P20,Urban,2013,AFG,1482140.35251098,6626290.21950222,0.223675737616926,Not P20 Urban
5 people per room or more,P20,Rural,2013,AFG,4051630.41228339,18815039.8756039,0.215339985409058,P20 Rural
5 people per room or more,P20,Urban,2013,AFG,216076.793223164,690399.067688468,0.312973761605172,P20 Urban
5 people per room or more,Not P20,Rural,2014,AFG,965682.442030616,5531901.86700659,0.174566083283246,Not P20 Rural
5 people per room or more,Not P20,Urban,2014,AFG,1526316.43363522,6825857.95388869,0.223607998283304,Not P20 Urban
5 people per room or more,P20,Rural,2014,AFG,4252507.00121687,19739334.9137218,0.215433145027634,P20 Rural
5 people per room or more,P20,Urban,2014,AFG,229852.649818623,740514.551346728,0.310395858394145,P20 Urban
5 people per room or more,Not P20,Rural,2015,AFG,914858.052175965,5360625.41573002,0.170662559165473,Not P20 Rural
5 people per room or more,Not P20,Urban,2015,AFG,1563778.6065011,7002625.64222827,0.22331318085476,Not P20 Urban
5 people per room or more,P20,Rural,2015,AFG,4466395.38394875,20700316.0737348,0.215764598378082,P20 Rural
5 people per room or more,P20,Urban,2015,AFG,247269.270839016,800189.584322432,0.309013358438542,P20 Urban
5 people per room or more,Not P20,Rural,2016,AFG,922440.743354752,5440004.51669352,0.169566172330206,Not P20 Rural
5 people per room or more,Not P20,Urban,2016,AFG,1604576.62940391,7196396.05863085,0.222969471987231,Not P20 Urban
5 people per room or more,P20,Rural,2016,AFG,4610417.27011279,21355144.730604,0.215892578967428,P20 Rural
