handwashing,p20,urban,povcal_year,iso3,value,total,percentage,demographic
no soap and water,Not P20,Urban,2000,AFG,142632.373436492,652745.609981775,0.2185114250565,Not P20 Urban
no soap and water,P20,Rural,2000,AFG,11565877.1284216,14479914.3478533,0.79875314525851,P20 Rural
no soap and water,P20,Urban,2000,AFG,1819988.71774123,3881394.90436504,0.46890068199308,P20 Urban
no soap and water,Not P20,Urban,2001,AFG,203830.573075481,866652.783804264,0.235192890260786,Not P20 Urban
no soap and water,P20,Rural,2001,AFG,12026195.0699928,15056209.9709799,0.79875314525851,P20 Rural
no soap and water,P20,Urban,2001,AFG,1836902.16417489,3847944.967394,0.477372254473515,P20 Urban
no soap and water,Not P20,Urban,2002,AFG,274125.414562198,1131158.33048225,0.242340446226772,Not P20 Urban
no soap and water,P20,Rural,2002,AFG,12579322.4280978,15747977.9460113,0.798789690411265,P20 Rural
no soap and water,P20,Urban,2002,AFG,1860467.85804322,3800280.49002106,0.489560668726563,P20 Urban
no soap and water,Not P20,Urban,2003,AFG,365717.181870583,1492765.4613098,0.244993062439756,Not P20 Urban
no soap and water,Not P20,Rural,2003,AFG,1723.99080038811,8836.57908961021,0.195097082582006,Not P20 Rural
no soap and water,P20,Rural,2003,AFG,13178769.9342823,16492499.2883478,0.799076580442438,P20 Rural
no soap and water,P20,Urban,2003,AFG,1870889.26676089,3674349.0464141,0.509175705173341,P20 Urban
no soap and water,Not P20,Rural,2004,AFG,2218.46336087921,23048.4322580686,0.0962522455340793,Not P20 Rural
no soap and water,Not P20,Urban,2004,AFG,528090.195067441,2005950.87458957,0.263261778619325,Not P20 Urban
no soap and water,P20,Rural,2004,AFG,13760362.6616932,17207032.2337779,0.799694129396771,P20 Rural
no soap and water,P20,Urban,2004,AFG,1807291.00301741,3389357.75338718,0.533225210944839,P20 Urban
no soap and water,Not P20,Rural,2005,AFG,4702.22769522761,59329.8370338535,0.0792556988239244,Not P20 Rural
no soap and water,Not P20,Urban,2005,AFG,810156.298335152,2662963.79858764,0.304231059680509,Not P20 Urban
no soap and water,P20,Rural,2005,AFG,14274166.2375268,17817117.4107585,0.80114902475232,P20 Rural
no soap and water,P20,Urban,2005,AFG,1612834.02888626,2934743.60296306,0.549565565883802,P20 Urban
no soap and water,Not P20,Rural,2006,AFG,44944.1145854599,168531.257298583,0.266681180131668,Not P20 Rural
no soap and water,Not P20,Urban,2006,AFG,1094082.13121565,3473588.73061098,0.314971695288523,Not P20 Urban
no soap and water,P20,Rural,2006,AFG,14667379.6747681,18250580.9260933,0.803666455011185,P20 Rural
no soap and water,P20,Urban,2006,AFG,1402461.50733514,2294045.02624182,0.611348727375546,P20 Urban
no soap and water,Not P20,Rural,2007,AFG,117415.931619705,570840.990490852,0.205689383866323,Not P20 Rural
no soap and water,Not P20,Urban,2007,AFG,1437631.79916151,4151530.91279991,0.346289556637778,Not P20 Urban
no soap and water,P20,Rural,2007,AFG,14966423.2613933,18313390.3675356,0.817239351153924,P20 Rural
no soap and water,P20,Urban,2007,AFG,1121954.52597702,1761747.05458119,0.636842004679119,P20 Urban
no soap and water,Not P20,Rural,2008,AFG,494757.92288765,1259785.67630788,0.392731821128228,Not P20 Rural
no soap and water,Not P20,Urban,2008,AFG,1780750.16751797,4866307.92185871,0.365934543418248,Not P20 Urban
no soap and water,P20,Rural,2008,AFG,14935134.4323161,18057687.3712755,0.827079023201692,P20 Rural
no soap and water,P20,Urban,2008,AFG,837558.14015963,1182632.36022493,0.708215137965896,P20 Urban
no soap and water,Not P20,Rural,2009,AFG,1098560.53935614,2193776.76755235,0.500762226861321,Not P20 Rural
no soap and water,Not P20,Urban,2009,AFG,2057913.54918347,5337077.3547261,0.385588106074788,Not P20 Urban
no soap and water,P20,Rural,2009,AFG,14705657.9900366,17592334.4023484,0.835912827354712,P20 Rural
no soap and water,P20,Urban,2009,AFG,623914.406531704,858609.036893835,0.726657162599663,P20 Urban
no soap and water,Not P20,Rural,2010,AFG,2121706.91198729,3624848.52278814,0.585322917260918,Not P20 Rural
no soap and water,Not P20,Urban,2010,AFG,2245708.64922003,5679267.45618424,0.395422238263254,Not P20 Urban
no soap and water,P20,Rural,2010,AFG,14122602.5863398,16712235.0865287,0.845045711313845,P20 Rural
no soap and water,P20,Urban,2010,AFG,510798.624637384,688946.645188022,0.741419714001191,P20 Urban
no soap and water,Not P20,Rural,2011,AFG,2084234.00963802,3596219.81774307,0.579562461492147,Not P20 Rural
no soap and water,Not P20,Urban,2011,AFG,2298354.15499914,5835106.15064712,0.393883863577057,Not P20 Urban
no soap and water,P20,Rural,2011,AFG,14678763.3938657,17390235.7636976,0.844080758497127,P20 Rural
no soap and water,P20,Urban,2011,AFG,546169.601407351,736447.811511294,0.741627027564294,P20 Urban
no soap and water,Not P20,Rural,2012,AFG,3152699.59009784,5086174.52825292,0.619856745494099,Not P20 Rural
no soap and water,Not P20,Urban,2012,AFG,2478813.65364761,6170987.00225,0.401688360831713,Not P20 Urban
no soap and water,P20,Rural,2012,AFG,14191355.3251634,16627736.7323381,0.853474862731238,P20 Rural
no soap and water,P20,Urban,2012,AFG,464310.123760324,628357.414188026,0.738926784782692,P20 Urban
no soap and water,Not P20,Rural,2013,AFG,3122474.38755407,5079923.99336189,0.614669509156892,Not P20 Rural
no soap and water,Not P20,Urban,2013,AFG,2554026.5367176,6377122.51074092,0.400498270562605,Not P20 Urban
no soap and water,P20,Rural,2013,AFG,14838398.8328361,17406213.7164024,0.852477113897175,P20 Rural
no soap and water,P20,Urban,2013,AFG,493765.533603098,664031.570128293,0.743587437428166,P20 Urban
no soap and water,Not P20,Rural,2014,AFG,3062402.9891269,5014053.0806741,0.610763974743398,Not P20 Rural
no soap and water,Not P20,Urban,2014,AFG,2622544.01491923,6569210.69371616,0.399217522042313,Not P20 Urban
no soap and water,P20,Rural,2014,AFG,15511387.9661208,18239427.7544297,0.850431722692265,P20 Rural
no soap and water,P20,Urban,2014,AFG,529254.458048791,712223.921238075,0.74310121054173,P20 Urban
no soap and water,Not P20,Rural,2015,AFG,2935613.51734545,4869393.7840287,0.602870428547815,Not P20 Rural
no soap and water,Not P20,Urban,2015,AFG,2680022.46480136,6738840.47482647,0.397697864315504,Not P20 Urban
no soap and water,P20,Rural,2015,AFG,16218592.6468496,19110738.5984184,0.84866383176796,P20 Rural
no soap and water,P20,Urban,2015,AFG,570267.036393233,770132.794119201,0.740478837867755,P20 Urban
no soap and water,Not P20,Rural,2016,AFG,2975934.9321653,4938151.39718293,0.602641493305162,Not P20 Rural
no soap and water,Not P20,Urban,2016,AFG,2752431.98867619,6925597.96543904,0.39742878555927,Not P20 Urban
no soap and water,P20,Rural,2016,AFG,16717897.429593,19717566.6787497,0.847868182822501,P20 Rural
no soap and water,P20,Urban,2016,AFG,589427.027301432,794923.548210181,0.741488950262654,P20 Urban
no soap and water,Not P20,Rural,2017,AFG,3007945.15023896,5006981.63734865,0.600750186060551,Not P20 Rural
no soap and water,Not P20,Urban,2017,AFG,2822252.09516298,7100293.78595179,0.397483847886254,Not P20 Urban
no soap and water,P20,Rural,2017,AFG,17194203.6517359,20285123.8421692,0.847626259791039,P20 Rural
no soap and water,P20,Urban,2017,AFG,605863.462837716,819501.690242886,0.739307154641925,P20 Urban
no soap and water,Not P20,Rural,2018,AFG,3030774.89246523,5062513.20378187,0.598670022272958,Not P20 Rural
no soap and water,Not P20,Urban,2018,AFG,2886439.90798821,7267564.8355842,0.397167410719932,Not P20 Urban
no soap and water,P20,Rural,2018,AFG,17658937.4012181,20839997.9994601,0.847357922091719,P20 Rural
no soap and water,P20,Urban,2018,AFG,624410.610922959,843368.879113742,0.740376632795751,P20 Urban
no soap and water,Not P20,Rural,2000,AGO,226401.359205706,618513.927164734,0.366040842836844,Not P20 Rural
no soap and water,Not P20,Urban,2000,AGO,1521276.37612494,4597485.08758671,0.330893161618385,Not P20 Urban
no soap and water,P20,Rural,2000,AGO,626892.503103064,1026703.05751649,0.610587938268603,P20 Rural
no soap and water,P20,Urban,2000,AGO,33766.3163032514,72042.8120293041,0.468697922139916,P20 Urban
no soap and water,Not P20,Rural,2001,AGO,214280.555585375,591391.084997948,0.362333083844371,Not P20 Rural
no soap and water,Not P20,Urban,2001,AGO,1567820.92586086,4736912.58010162,0.330979493361734,Not P20 Urban
no soap and water,P20,Rural,2001,AGO,667652.343032458,1109044.19087441,0.602006979096168,P20 Rural
no soap and water,P20,Urban,2001,AGO,39413.5449191647,89338.3254685893,0.441171744740416,P20 Urban
no soap and water,Not P20,Rural,2002,AGO,211655.718382852,575518.069230467,0.367765548466375,Not P20 Rural
no soap and water,Not P20,Urban,2002,AGO,1612413.42162773,4886886.76670484,0.329946957767339,Not P20 Urban
no soap and water,P20,Rural,2002,AGO,700133.224658188,1182481.98420581,0.592087857582389,P20 Rural
no soap and water,P20,Urban,2002,AGO,49230.7030310892,102747.046635436,0.479144701898518,P20 Urban
no soap and water,Not P20,Rural,2003,AGO,199212.189710944,546956.301254285,0.364219571571091,Not P20 Rural
no soap and water,Not P20,Urban,2003,AGO,1657999.7125053,5029259.78972599,0.329670723292588,Not P20 Urban
no soap and water,P20,Rural,2003,AGO,743910.756888843,1271458.14999968,0.58508473667736,P20 Rural
no soap and water,P20,Urban,2003,AGO,60747.4986877518,131844.850122206,0.460749878599319,P20 Urban
no soap and water,Not P20,Rural,2004,AGO,189768.069885146,526605.685527198,0.360360845126775,Not P20 Rural
no soap and water,Not P20,Urban,2004,AGO,1701064.07319685,5174434.28882431,0.328743970499499,Not P20 Urban
no soap and water,P20,Rural,2004,AGO,786489.827450169,1355695.52988227,0.580137508839073,P20 Rural
no soap and water,P20,Urban,2004,AGO,78068.2705762397,167996.601857728,0.464701486297644,P20 Urban
no soap and water,Not P20,Rural,2005,AGO,172902.566774842,466034.690736846,0.371007931837577,Not P20 Rural
no soap and water,Not P20,Urban,2005,AGO,1743475.36798789,5324031.05675685,0.327472801980597,Not P20 Urban
no soap and water,P20,Rural,2005,AGO,838509.138709436,1484045.80306379,0.565015673356136,P20 Rural
no soap and water,P20,Urban,2005,AGO,99721.2740155461,210773.991504569,0.47311944563798,P20 Urban
no soap and water,Not P20,Rural,2006,AGO,189057.958527524,507117.310773971,0.372809120317705,Not P20 Rural
no soap and water,Not P20,Urban,2006,AGO,1813909.14783833,5533902.37238186,0.327781197747731,Not P20 Urban
no soap and water,P20,Rural,2006,AGO,859633.155747089,1514840.78490556,0.567474261528205,P20 Rural
no soap and water,P20,Urban,2006,AGO,97225.4868990474,204908.877162523,0.474481575641709,P20 Urban
no soap and water,Not P20,Rural,2007,AGO,210484.839052073,567559.184183259,0.370859718101416,Not P20 Rural
no soap and water,Not P20,Urban,2007,AGO,1891028.76941426,5753473.30826662,0.328676030650427,Not P20 Urban
no soap and water,P20,Rural,2007,AGO,877523.901972772,1530206.35625137,0.573467688451176,P20 Rural
no soap and water,P20,Urban,2007,AGO,91758.3063662797,200497.997111441,0.457651984998527,P20 Urban
no soap and water,Not P20,Rural,2008,AGO,225612.450396743,617960.667339744,0.365091926267705,Not P20 Rural
no soap and water,Not P20,Urban,2008,AGO,1967447.39645781,5986878.9179644,0.3286265554084,Not P20 Urban
no soap and water,P20,Rural,2008,AGO,903525.533673461,1559105.25507844,0.579515418045334,P20 Rural
no soap and water,P20,Urban,2008,AGO,90293.6098124343,192166.25278842,0.469872355328956,P20 Urban
no soap and water,Not P20,Rural,2009,AGO,181766.235986621,502955.845920953,0.361396010128468,Not P20 Rural
no soap and water,Not P20,Urban,2009,AGO,2004007.32290817,6123403.27755182,0.327270184907597,Not P20 Urban
no soap and water,P20,Rural,2009,AGO,989977.805285927,1756257.87112678,0.563685903739623,P20 Rural
no soap and water,P20,Urban,2009,AGO,131378.959898367,288797.41158324,0.454917373317592,P20 Urban
no soap and water,Not P20,Rural,2010,AGO,137959.882591724,423241.899629107,0.325959888925507,Not P20 Rural
no soap and water,Not P20,Urban,2010,AGO,2034734.90023902,6231672.08484175,0.326515078543432,Not P20 Urban
no soap and water,P20,Rural,2010,AGO,1077603.78906165,1920459.47559764,0.561117692278462,P20 Rural
no soap and water,P20,Urban,2010,AGO,180508.274804197,420325.227300182,0.429449062488186,P20 Urban
no soap and water,Not P20,Rural,2011,AGO,118560.152486404,351492.399686155,0.337305024496305,Not P20 Rural
no soap and water,Not P20,Urban,2011,AGO,1957582.74561706,6202670.3271688,0.315603222863949,Not P20 Urban
no soap and water,P20,Rural,2011,AGO,1141991.54811787,2078949.39710776,0.549311854202228,P20 Rural
no soap and water,P20,Urban,2011,AGO,339646.611159078,695517.501059262,0.48833654169996,P20 Urban
no soap and water,Not P20,Rural,2012,AGO,116011.073722449,347172.162244878,0.33416006909166,Not P20 Rural
no soap and water,Not P20,Urban,2012,AGO,1978291.47625615,6334120.20625443,0.312323008063969,Not P20 Urban
no soap and water,P20,Rural,2012,AGO,1190718.13241708,2172303.45955659,0.548136185659865,P20 Rural
no soap and water,P20,Urban,2012,AGO,403091.764321377,816767.377539854,0.493520891511988,P20 Urban
no soap and water,Not P20,Rural,2013,AGO,69019.8307642903,269023.05001279,0.256557312694986,Not P20 Rural
no soap and water,Not P20,Urban,2013,AGO,1936234.58801698,6325441.1598357,0.306102695304697,Not P20 Urban
no soap and water,P20,Rural,2013,AGO,1284957.90425898,2341551.41317776,0.548763480924447,P20 Rural
no soap and water,P20,Urban,2013,AGO,531254.369259191,1084007.20071314,0.490083801020595,P20 Urban
no soap and water,Not P20,Rural,2014,AGO,52119.5882339467,218144.269858864,0.238922563804528,Not P20 Rural
no soap and water,Not P20,Urban,2014,AGO,1853459.89475509,6285605.94909148,0.294873701878017,Not P20 Urban
no soap and water,P20,Rural,2014,AGO,1350051.28298028,2485350.3111348,0.543203618794427,P20 Rural
no soap and water,P20,Urban,2014,AGO,701856.231529606,1387572.41580163,0.505815929703479,P20 Urban
no soap and water,Not P20,Rural,2015,AGO,40097.5304470797,189294.826429489,0.211825812693385,Not P20 Rural
no soap and water,Not P20,Urban,2015,AGO,1751406.54002377,6213790.86694137,0.281857979698289,Not P20 Urban
no soap and water,P20,Rural,2015,AGO,1411130.57145515,2608785.91381646,0.540914669916618,P20 Rural
no soap and water,P20,Urban,2015,AGO,893311.481038118,1727846.13511545,0.517008698218624,P20 Urban
no soap and water,Not P20,Rural,2016,AGO,26845.5432337861,155053.154533451,0.173137678588761,Not P20 Rural
no soap and water,Not P20,Urban,2016,AGO,1550800.14632816,5946676.48672017,0.260784347322632,Not P20 Urban
no soap and water,P20,Rural,2016,AGO,1474246.53083684,2739169.2053336,0.538209369456346,P20 Rural
no soap and water,P20,Urban,2016,AGO,1184789.97514482,2267833.92918725,0.522432423246015,P20 Urban
no soap and water,Not P20,Rural,2017,AGO,26075.1868021883,121681.60634526,0.214290290746182,Not P20 Rural
no soap and water,Not P20,Urban,2017,AGO,1401163.12054003,5692710.65552387,0.246132853982385,Not P20 Urban
no soap and water,P20,Rural,2017,AGO,1525721.95027384,2870304.06174494,0.531554120209238,P20 Rural
no soap and water,P20,Urban,2017,AGO,1426831.9052438,2799275.9228335,0.509714634990152,P20 Urban
no soap and water,Not P20,Rural,2018,AGO,18465.7727686395,103180.553856819,0.17896562945634,Not P20 Rural
